run_id,artifact_type,task,configuration,seeds,successes,episodes,success_rate,ci_low,ci_high,mean_best_human_steps,primary_source,claim_supported,registry_note
R018,stack_boundary_eval,Stack,none_matched_bc,0;1;2,131,180,0.7278,0.6585,0.7875,0.0,results/r018_stack_multiseed_alignment/r018_stack_multiseed_aggregate.csv,stack_boundary_reference,"Strong no-online matched behavioral-cloning baseline; retained as zero-online-human reference for Stack boundary evidence."
R018,stack_boundary_eval,Stack,random_matched_bc,0;1;2,107,180,0.5944,0.5215,0.6635,478.0,results/r018_stack_multiseed_alignment/r018_stack_multiseed_aggregate.csv,stack_online_negative,"Random online intervention under matched Stack setup is below no-online matched BC while using substantial online human cost."
R018,stack_boundary_eval,Stack,voi_stack_tuned,0;1;2,107,180,0.5944,0.5215,0.6635,433.3,results/r018_stack_multiseed_alignment/r018_stack_multiseed_aggregate.csv,stack_online_negative,"Stack-tuned LV-VoI is below no-online matched BC while using substantial online human cost; boundary evidence only."
R020,repeated_checkpoint_eval,Lift,none,0;1;2;3;4,400,500,0.8000,0.7627,0.8327,0.0,results/r020_lift_highn_reliability/r020_lift_highn_aggregate.csv,baseline_success,"Five-seed no-intervention baseline for Lift."
R020,repeated_checkpoint_eval,Lift,random,0;1;2;3;4,426,500,0.8520,0.8182,0.8804,269.2,results/r020_lift_highn_reliability/r020_lift_highn_aggregate.csv,baseline_success,"Initial random baseline; later superseded for cost matching by R021 random_b350."
R020,repeated_checkpoint_eval,Lift,lv_voi_scale3,0;1;2;3;4,416,500,0.8320,0.7967,0.8622,202.0,results/r020_lift_highn_reliability/r020_lift_highn_aggregate.csv,partial_then_overturned,"Initially suggested possible human-efficiency; overturned by R021 cost-matched random."
R021,cost_matched_eval,Lift,random_b350,0;1;2;3;4,439,500,0.8780,0.8464,0.9038,177.0,results/r021_random_costmatch/r021_costmatch_aggregate.csv,cost_matched_random_dominates,"Dominates LV-VoI scale3 with higher success and lower human cost."
R021,cost_matched_eval,Lift,random_b450,0;1;2;3;4,426,500,0.8520,0.8182,0.8804,250.0,results/r021_random_costmatch/r021_costmatch_aggregate.csv,random_family_frontier,"Additional random-family point for cost-success frontier."
R021,cost_matched_eval,Lift,random_b600,0;1;2;3;4,426,500,0.8520,0.8182,0.8804,269.2,results/r021_random_costmatch/r021_costmatch_aggregate.csv,random_family_frontier,"Matches the R020 random baseline point."
R021,cost_matched_eval,Lift,lv_voi_scale3,0;1;2;3;4,416,500,0.8320,0.7967,0.8622,202.0,results/r021_random_costmatch/r021_costmatch_aggregate.csv,trigger_superiority_rejected,"Current LV-VoI scale3 is not on the cost-matched frontier."
R022,trigger_repair_eval,Lift,min_disagree_vlv0p25,0;1;2,226,300,0.7533,0.7016,0.7987,211.6667,results/r022_lift_min_disagree_seed0_2/r022_min_disagree_aggregate.csv,repair_negative,"Minimum-disagreement repair remains dominated by same-seed random_b350."
R022,trigger_repair_baseline,Lift,random_b350,0;1;2,259,300,0.8633,0.8198,0.8976,95.0,results/r022_lift_min_disagree_seed0_2/r022_min_disagree_aggregate.csv,baseline_success,"Same-seed baseline used to gate R022 expansion."
R023,trace_diagnostic,Lift,random_b350,0;1;2,,,0.833333,,,95.0,results/r023_real_trace_seed0_2/r023_trace_strategy_diagnostics.csv,trace_baseline,"55 intervention starts; mean g2c_norm 0.284851; mean g2c_xy 0.235331."
R023,trace_diagnostic,Lift,lv_voi_scale3,0;1;2,,,0.816667,,,276.0,results/r023_real_trace_seed0_2/r023_trace_strategy_diagnostics.csv,mechanism_diagnostic,"96 intervention starts; mean g2c_norm 0.217166; score saturation and timing mismatch observed."
R024,trigger_repair_eval,Lift,score_floor_vlv3_after4000_floor0p05,0;1;2,233,300,0.7767,0.7262,0.8201,253.3333,results/r024_score_floor_seed0_2/r024_score_floor_aggregate.csv,repair_negative,"Score floor worked mechanically but did not reduce starts/cost enough."
R024,trigger_repair_baseline,Lift,random_b350,0;1;2,259,300,0.8633,0.8198,0.8976,95.0,results/r024_score_floor_seed0_2/r024_score_floor_aggregate.csv,baseline_success,"Same-seed random baseline remains dominant."
R024,trigger_repair_comparator,Lift,min_disagree_vlv0p25,0;1;2,226,300,0.7533,0.7016,0.7987,211.6667,results/r024_score_floor_seed0_2/r024_score_floor_aggregate.csv,repair_negative,"Included as repaired-trigger comparator in R024 aggregate."
R025,paper_pivot,All,cost_matched_diagnostic_benchmark,R020-R024,,,,,,,results/r025_paper_pivot/claims_evidence_matrix.md,paper_route_supported,"Frames current paper as diagnostic benchmark with negative findings."
R026,paper_artifacts,All,figures_and_tables,R020-R025,,,,,,,figures/R026_MANIFEST.md,paper_artifacts_ready,"Five vector figures and three LaTeX tables generated from existing evidence."
R028,paper_framework,All,diagnostic_protocol_case_study,R020-R027,,,,,,,results/r028_framework_refinement/FRAMEWORK_DECISION.md,paper_framing_refined,"Reframes the manuscript as a diagnostic evaluation protocol with a robotic manipulation case study, not a negative-findings-only paper."
R029,paper_artifacts,All,protocol_hero_and_checklist,R021;R023;R025;R028,,,,,,,figures/fig1_protocol_hero_r029.pdf,protocol_contribution_visualized,"Adds a protocol-centered hero figure candidate, machine-readable protocol checklist, LaTeX checklist table, and include snippets."
R030,project_structure,All,artifact_navigation_and_bookkeeping_module,R020-R029,,,,,,,results/r030_structure_audit/STRUCTURE_AUDIT.md,project_navigation_ready,"Adds CONTEXT, project/result/figure indexes, an ADR, and a first bookkeeping-module extraction without changing experiment behavior."
R031,project_structure,All,trace_schema_module_extraction,R023;R024;R030,,,,,,,results/r031_trace_schema_module/TRACE_SCHEMA_MODULE.md,project_navigation_ready,"Extracts intervention trace schema and row construction into foresight_hil/experiments/trace.py while preserving trace CSV fields and training behavior."
R032,project_structure,All,strategy_spec_module_extraction,R021;R023;R031,,,,,,,results/r032_strategy_spec_module/CODE_AUDIT_AND_FRAMEWORK_REVIEW.md,project_navigation_ready,"Extracts comparison strategy identity, pace flags, run tags, and training CLI construction into foresight_hil/experiments/strategy_specs.py to reduce configuration drift."
R033,project_structure,All,evaluation_protocol_module_extraction,R020-R024;R032,,,,,,,results/r033_evaluation_protocol_module/EVALUATION_PROTOCOL_MODULE.md,project_navigation_ready,"Extracts repeated checkpoint summary aggregation and summary-row formatting into foresight_hil/evaluation/protocol.py for paper-facing evaluation consistency."
R034,project_structure,All,registry_source_validation,R020-R033,,,,,,,results/r034_registry_validation/REGISTRY_VALIDATION.md,project_navigation_ready,"Adds registry source validation, validates all primary sources, and fixes malformed R023 registry rows."
R035,project_structure,All,registry_numeric_audit,R020-R034,,,,,,,results/r035_registry_numeric_audit/REGISTRY_NUMERIC_AUDIT.md,project_navigation_ready,"Adds numeric audit for registry fields against primary CSV rows and validates current registry numeric claims."
R036,paper_artifacts,All,registry_claim_tables,R020-R035,,,,,,,results/r036_claim_tables/CLAIM_TABLE_GENERATOR.md,paper_artifacts_ready,"Adds registry-driven Markdown and LaTeX claim tables for main cost-matched and trigger-repair paper claims."
R037,citation_audit,All,candidate_metadata_context_audit,R027;R036,,,,,,,results/r037_citation_audit_batch1/CITATION_METADATA_CONTEXT_AUDIT.md,citation_bank_ready_partial,"Audits first-batch candidate citations for SAC, robosuite, Deep RL evaluation reliability, and Wilson intervals while keeping final cite-context audit deferred until manuscript skeleton exists."
R038,manuscript,All,current_route_skeleton,R029;R036;R037,,,,,,,results/r038_manuscript_skeleton/MANUSCRIPT_SKELETON.md,manuscript_skeleton_ready,"Creates paper/main.tex with prose section skeletons, local supported bibliography, and R029/R036 display assets; PDF compile is blocked by local LaTeX runtime/cache availability."
R039,project_structure,All,project_dashboard_and_agent_rules,R020-R038,,,,,,,results/r039_project_organization/PROJECT_ORGANIZATION.md,project_navigation_ready,"Adds a root project dashboard, future-agent operating rules, .gitignore, ADR-002, and synchronized indexes without changing experiment behavior or raw evidence."
R040,manuscript,All,manuscript_intro_protocol_polish,R038;R039,,,,,,,results/r040_manuscript_polish/MANUSCRIPT_POLISH.md,manuscript_sections_strengthened,"Polishes the abstract, Introduction, Diagnostic Protocol and Experimental Setup, and Conclusion while preserving evidence boundaries and existing citation keys."
R041,manuscript,All,manuscript_results_discussion_polish,R038;R040,,,,,,,results/r041_results_discussion_polish/MANUSCRIPT_POLISH.md,manuscript_sections_strengthened,"Polishes Results and Discussion around the cost-matched reversal, negative repairs, trace mechanism, Stack boundary evidence, and stop/redesign rules without changing evidence boundaries."
R042,citation_audit,All,final_citation_context_audit,R037;R040;R041,,,,,,,results/r042_citation_context_audit/CITATION_CONTEXT_AUDIT.md,citation_context_audit_passed,"Audits all 15 manuscript citation keys against current contexts, applies six metadata fixes, and emits paper/CITATION_AUDIT.md/json without adding citation keys."
R043,paper_planning,All,target_journal_positioning,R038;R040;R041;R042,,,,,,,results/r043_venue_targeting/VENUE_TARGET_MATRIX.md,venue_route_selected,"Selects IEEE T-ASE as the primary target, T-RO as a stretch target, and RA-L/RAS/EAAI as contingencies, with official source URLs and target-driven revision tasks."
R044,project_audit,All,environment_reproducibility_innovation_audit,R020-R043,,,,,,,results/r044_environment_reproducibility_audit/PROJECT_ENVIRONMENT_REPRODUCIBILITY_AUDIT.md,environment_reproducibility_audit_done,"Audits local environment, reproducibility entry points, evidence discipline, innovation gaps, and smoke-run readiness without adding paper-claim results."
R045,manuscript,All,tase_practitioner_reproducibility_alignment,R043;R044,,,,,,,results/r045_tase_reproducibility_alignment/MANUSCRIPT_ALIGNMENT.md,manuscript_sections_strengthened,"Adds T-ASE-style Note to Practitioners and a reproducibility appendix inventory while preserving current evidence boundaries and adding no citation keys."
R047,evidence_audit,All,source_hash_compute_provenance_package,R020-R045,,,,,,,results/r047_evidence_provenance_package/EVIDENCE_PROVENANCE_AUDIT.md,evidence_provenance_strengthened,"Adds registry source inventory, artifact hashes, available compute accounting, command provenance inventory, and explicit provenance gaps without changing paper-claim results."
R048,evidence_audit,All,version_command_provenance_repair,R020-R047,,,,,,,results/r048_version_command_provenance/VERSION_PROVENANCE_REPAIR.md,version_command_provenance_repaired,"Adds deterministic source snapshot provenance, Git failure diagnostic, R020/R021 checkpoint inventories, R021 raw-run inventory, and reconstructed command templates with explicit boundaries without changing paper-claim results."
R049,project_structure,All,provenance_validation_gate,R047;R048,,,,,,,results/r049_provenance_validation/PROVENANCE_VALIDATION_MODULE.md,provenance_validation_automated,"Adds a tested provenance validator and CLI for R047/R048 package self-consistency plus optional current-file drift diagnosis without changing paper-claim results."
R050,manuscript,All,human_attention_theme_deepening,R020-R049,,,,,,,results/r050_theme_deepening/THEME_DEEPENING.md,manuscript_theme_deepened,"Deepens the paper spine around human-attention allocation diagnostics while preserving the current evidence boundary, citation set, and negative LV-VoI verdict."
R051,citation_audit,All,post_r050_citation_context_audit,R050,,,,,,,results/r051_citation_context_audit/CITATION_CONTEXT_AUDIT.md,citation_context_audit_passed,"Audits all 15 manuscript citation keys after the R050 human-attention theme update, finding no wrong-context citations and no bibliography metadata changes."
R052,paper_claim_audit,All,post_r051_manuscript_claim_audit,R018-R051,,,,,,,results/r052_paper_claim_audit/PAPER_CLAIM_AUDIT.md,paper_claim_audit_passed,"Audits manuscript numerical, comparison, and scope claims after R050/R051; finds core claims supported and repairs stale Git-provenance wording."
R053,paper_artifacts,Stack,stack_boundary_appendix,R018;R019,,,,,,,results/r053_stack_boundary_appendix/STACK_BOUNDARY_APPENDIX.md,stack_boundary_appendix_ready,"Promotes Stack boundary evidence into a registry-driven appendix package and LaTeX table without changing the negative transfer interpretation."
R054,paper_artifacts,Lift,attention_allocation_diagnostics_figure,R021;R023;R024,,,,,,,results/r054_attention_allocation_figure_optimization/MANIFEST.md,attention_allocation_figure_ready,"Adds a scipilot-guided multi-panel attention-allocation diagnostic figure, trace profile, grayscale preview, and visual QA without changing experimental result claims."
R055,project_quality,All,document_code_quality_pass,R054,,,,,,,results/r055_project_quality_pass/MANIFEST.md,project_quality_pass_done,"Reviews documentation/code consistency after R054, extracts attention-diagnostic profiling into a tested evaluation module, and connects the R054 figure to the manuscript without changing experimental result claims."
R056,paper_artifacts,All,methodology_extension_from_registered_evidence,R021;R023;R024,,,,,,,results/r056_methodology_extension/MANIFEST.md,methodology_extension_ready,"Adds derived protocol gate matrix, failure taxonomy, stop-rule metrics, and a methodology-first figure from registered R021/R023/R024 evidence without changing experimental result claims."
R057,project_quality,All,document_link_and_attention_profile_quality_pass,AllDocs;R054,,,,,,,results/r057_document_code_quality_pass/MANIFEST.md,document_code_quality_pass_done,"Adds repeatable Markdown local-link validation and repairs row-aligned attention-profile gap handling without changing experimental result claims."
R058,project_packaging,All,submission_packaging_readiness_pass,R047;R048;R049;R057,,,,,,,results/r058_submission_packaging_readiness/MANIFEST.md,submission_pdf_compile_visual_qa_ready,"Records Tectonic cache repair, PDF compilation, visual QA, public Git source-state tracking, and final source-archive decision without changing experimental result claims."
R059,experiment_plan,All,evidence_and_experiment_optimization_plan,R021;R022;R023;R024;R053;R056;R058,,,,,,,results/r059_evidence_experiment_optimization/MANIFEST.md,evidence_experiment_optimization_planned,"Defines an evidence-first optimization route with trace/offline gates and cost-matched new-experiment stop rules without adding new empirical results."
