run_id,configuration,seed,role,summary_csv,summary_exists,checkpoint_path,checkpoint_exists,checkpoint_bytes,checkpoint_sha256,training_source_dir,note
R020,method,0,R020 repeated-evaluation source checkpoint,results/r020_lift_highn_reliability/checkpoint_reeval_method_seed0_5x20_summary.csv,True,results/r012_budget600_scale3_seeds0_1/checkpoints/best_Lift_voi_b600_seed0_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefdemo_nn_vlv3p0_vclip1p0_restorebest1_pacelinear.zip,True,3736240,176528702bfcbebc21deebe5813a8908dcae8db73591addadbb7c57dbef6d690,results/r012_budget600_scale3_seeds0_1,checkpoint path read from repeated-evaluation summary CSV
R020,method,1,R020 repeated-evaluation source checkpoint,results/r020_lift_highn_reliability/checkpoint_reeval_method_seed1_5x20_summary.csv,True,results/r012_budget600_scale3_seeds0_1/checkpoints/best_Lift_voi_b600_seed1_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefdemo_nn_vlv3p0_vclip1p0_restorebest1_pacelinear.zip,True,3736244,400975feccaa927162723deb1c97cb665f5e7d0a58b3741d31cd9d43ced5bc36,results/r012_budget600_scale3_seeds0_1,checkpoint path read from repeated-evaluation summary CSV
R020,method,2,R020 repeated-evaluation source checkpoint,results/r020_lift_highn_reliability/checkpoint_reeval_method_seed2_5x20_summary.csv,True,results/r010_learning_value_ablation_seed2/checkpoints/best_Lift_voi_b600_seed2_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefdemo_nn_vlv3p0_vclip1p0_restorebest1_pacelinear.zip,True,3736240,af6663d4be630d3ad52ea7de48765cdc97f47172fc87a10c1b22a0943a4bcf60,results/r010_learning_value_ablation_seed2,checkpoint path read from repeated-evaluation summary CSV
R020,method,3,R020 repeated-evaluation source checkpoint,results/r020_lift_highn_reliability/checkpoint_reeval_method_seed3_5x20_summary.csv,True,results/r014_robustness_seeds3_4_method/checkpoints/best_Lift_voi_b600_seed3_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefdemo_nn_vlv3p0_vclip1p0_restorebest1_pacelinear.zip,True,3736244,e30ee2bed1800b391a95818f3d7801c2db5a2d4f3daf26e2343508a3a08e70ca,results/r014_robustness_seeds3_4_method,checkpoint path read from repeated-evaluation summary CSV
R020,method,4,R020 repeated-evaluation source checkpoint,results/r020_lift_highn_reliability/checkpoint_reeval_method_seed4_5x20_summary.csv,True,results/r014_robustness_seeds3_4_method/checkpoints/best_Lift_voi_b600_seed4_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefdemo_nn_vlv3p0_vclip1p0_restorebest1_pacelinear.zip,True,3736240,bdda686f6b14026a49a437fdfdcfcfde168b2d4578ee3141fb1fd629f5f21ea7,results/r014_robustness_seeds3_4_method,checkpoint path read from repeated-evaluation summary CSV
R020,none,0,R020 repeated-evaluation source checkpoint,results/r020_lift_highn_reliability/checkpoint_reeval_none_seed0_5x20_summary.csv,True,results/r004_restorebest_seed0_probe/checkpoints/best_Lift_none_b600_seed0_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_restorebest1_pacenone.zip,True,3736240,0631eb7db412d476a9a64750d7fc47fa6581e2224605e9816189a977071fe4e0,results/r004_restorebest_seed0_probe,checkpoint path read from repeated-evaluation summary CSV
R020,none,1,R020 repeated-evaluation source checkpoint,results/r020_lift_highn_reliability/checkpoint_reeval_none_seed1_5x20_summary.csv,True,results/r013_baseline_alignment_seeds1_2/checkpoints/best_Lift_none_b600_seed1_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_restorebest1_pacenone.zip,True,3736244,8c9e1aee2adee9595e4b8eb92312d6eb764c65e3c000749518d094d5706d5c39,results/r013_baseline_alignment_seeds1_2,checkpoint path read from repeated-evaluation summary CSV
R020,none,2,R020 repeated-evaluation source checkpoint,results/r020_lift_highn_reliability/checkpoint_reeval_none_seed2_5x20_summary.csv,True,results/r013_baseline_alignment_seeds1_2/checkpoints/best_Lift_none_b600_seed2_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_restorebest1_pacenone.zip,True,3736240,fbb49b50278d4b2cad79d2ad0e674ec0ef9b33c96e40ea1095230731ef6b6de8,results/r013_baseline_alignment_seeds1_2,checkpoint path read from repeated-evaluation summary CSV
R020,none,3,R020 repeated-evaluation source checkpoint,results/r020_lift_highn_reliability/checkpoint_reeval_none_seed3_5x20_summary.csv,True,results/r014_robustness_seeds3_4_baselines/checkpoints/best_Lift_none_b600_seed3_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_restorebest1_pacenone.zip,True,3736244,636045f71cc25e39ebdd1a7f323689212fe946bcca7272f8330665929f63dc4d,results/r014_robustness_seeds3_4_baselines,checkpoint path read from repeated-evaluation summary CSV
R020,none,4,R020 repeated-evaluation source checkpoint,results/r020_lift_highn_reliability/checkpoint_reeval_none_seed4_5x20_summary.csv,True,results/r014_robustness_seeds3_4_baselines/checkpoints/best_Lift_none_b600_seed4_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_restorebest1_pacenone.zip,True,3736240,f0bdc07150bd6533ed61c05f7e0db73a74c4a2db59ac4c677735279d5b63607c,results/r014_robustness_seeds3_4_baselines,checkpoint path read from repeated-evaluation summary CSV
R020,random,0,R020 repeated-evaluation source checkpoint,results/r020_lift_highn_reliability/checkpoint_reeval_random_seed0_5x20_summary.csv,True,results/r004_restorebest_seed0_probe/checkpoints/best_Lift_random_b600_seed0_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_restorebest1_pacelinear.zip,True,3736240,b6bb66efee4ffce1ecedf0749f30eba3322488fb695ed2abd00629823fb06536,results/r004_restorebest_seed0_probe,checkpoint path read from repeated-evaluation summary CSV
R020,random,1,R020 repeated-evaluation source checkpoint,results/r020_lift_highn_reliability/checkpoint_reeval_random_seed1_5x20_summary.csv,True,results/r013_baseline_alignment_seeds1_2/checkpoints/best_Lift_random_b600_seed1_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_restorebest1_pacelinear.zip,True,3736244,1e239adad20bbff7d9f5406ee21b454059ccdd0f1b764b46dfa6beebc43453c4,results/r013_baseline_alignment_seeds1_2,checkpoint path read from repeated-evaluation summary CSV
R020,random,2,R020 repeated-evaluation source checkpoint,results/r020_lift_highn_reliability/checkpoint_reeval_random_seed2_5x20_summary.csv,True,results/r013_baseline_alignment_seeds1_2/checkpoints/best_Lift_random_b600_seed2_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_restorebest1_pacelinear.zip,True,3736240,2d344af0bab28e933b96d02a36d7d4cdeab06f1b9c69531b694630d931d28de2,results/r013_baseline_alignment_seeds1_2,checkpoint path read from repeated-evaluation summary CSV
R020,random,3,R020 repeated-evaluation source checkpoint,results/r020_lift_highn_reliability/checkpoint_reeval_random_seed3_5x20_summary.csv,True,results/r014_robustness_seeds3_4_baselines/checkpoints/best_Lift_random_b600_seed3_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_restorebest1_pacelinear.zip,True,3736244,3a4b1f1214435fb7b02fcc7a78fb8805158ba61e16138f21c15423157133b567,results/r014_robustness_seeds3_4_baselines,checkpoint path read from repeated-evaluation summary CSV
R020,random,4,R020 repeated-evaluation source checkpoint,results/r020_lift_highn_reliability/checkpoint_reeval_random_seed4_5x20_summary.csv,True,results/r014_robustness_seeds3_4_baselines/checkpoints/best_Lift_random_b600_seed4_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_restorebest1_pacelinear.zip,True,3736240,a63f216b9847e51fc3283171ad2af905eae612d2ee5dcdad5930c47a096f9acf,results/r014_robustness_seeds3_4_baselines,checkpoint path read from repeated-evaluation summary CSV
R021,random_b350,0,R021 random-budget repeated-evaluation source checkpoint,results/r021_random_budget350_costmatch/checkpoint_reeval_random_b350_seed0_5x20_summary.csv,True,results/r021_random_budget350_costmatch/checkpoints/best_Lift_random_b350_seed0_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear.zip,True,3736240,a45fb5c5aa39acf275afed30725cec95a332149866148abce2b9e97669b22847,results/r021_random_budget350_costmatch,checkpoint path read from repeated-evaluation summary CSV
R021,random_b350,1,R021 random-budget repeated-evaluation source checkpoint,results/r021_random_budget350_costmatch/checkpoint_reeval_random_b350_seed1_5x20_summary.csv,True,results/r021_random_budget350_costmatch/checkpoints/best_Lift_random_b350_seed1_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear.zip,True,3736244,5478fce9935bf79eb9c9e0ac599e72ec85811cedcc2981f3409aa6884f4a2866,results/r021_random_budget350_costmatch,checkpoint path read from repeated-evaluation summary CSV
R021,random_b350,2,R021 random-budget repeated-evaluation source checkpoint,results/r021_random_budget350_costmatch/checkpoint_reeval_random_b350_seed2_5x20_summary.csv,True,results/r021_random_budget350_costmatch/checkpoints/best_Lift_random_b350_seed2_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear.zip,True,3736240,b21b9f6cf205aca228ea00a0df646ae9f342a71182ff3691e07b505325454997,results/r021_random_budget350_costmatch,checkpoint path read from repeated-evaluation summary CSV
R021,random_b350,3,R021 random-budget repeated-evaluation source checkpoint,results/r021_random_budget350_costmatch/checkpoint_reeval_random_b350_seed3_5x20_summary.csv,True,results/r021_random_budget350_costmatch/checkpoints/best_Lift_random_b350_seed3_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear.zip,True,3736244,efeb116286bfd4a5249572d09acbd8dde3c3ee293a2c9af77c2c36e7517a30d5,results/r021_random_budget350_costmatch,checkpoint path read from repeated-evaluation summary CSV
R021,random_b350,4,R021 random-budget repeated-evaluation source checkpoint,results/r021_random_budget350_costmatch/checkpoint_reeval_random_b350_seed4_5x20_summary.csv,True,results/r021_random_budget350_costmatch/checkpoints/best_Lift_random_b350_seed4_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear.zip,True,3736240,d7522e0a92b9902ea3a5389ea36605089d8d3c8776d87b2ece98d697595b448c,results/r021_random_budget350_costmatch,checkpoint path read from repeated-evaluation summary CSV
R021,random_b450,0,R021 random-budget repeated-evaluation source checkpoint,results/r021_random_budget450_costmatch/checkpoint_reeval_random_b450_seed0_5x20_summary.csv,True,results/r021_random_budget450_costmatch/checkpoints/best_Lift_random_b450_seed0_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear.zip,True,3736240,395cacecc4bb502d07a65abe5d95c6d586f32743a8aa2b6654d7dbe919966fcb,results/r021_random_budget450_costmatch,checkpoint path read from repeated-evaluation summary CSV
R021,random_b450,1,R021 random-budget repeated-evaluation source checkpoint,results/r021_random_budget450_costmatch/checkpoint_reeval_random_b450_seed1_5x20_summary.csv,True,results/r021_random_budget450_costmatch/checkpoints/best_Lift_random_b450_seed1_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear.zip,True,3736244,5fa31390d5170d7c3fd5f42cb63e507590e8ecb32e81007984b6bf82c6435a65,results/r021_random_budget450_costmatch,checkpoint path read from repeated-evaluation summary CSV
R021,random_b450,2,R021 random-budget repeated-evaluation source checkpoint,results/r021_random_budget450_costmatch/checkpoint_reeval_random_b450_seed2_5x20_summary.csv,True,results/r021_random_budget450_costmatch/checkpoints/best_Lift_random_b450_seed2_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear.zip,True,3736240,f8d5be29fef7e06efe2605c01353476db7baeb19ea3f0f08c0190dfef20cee9c,results/r021_random_budget450_costmatch,checkpoint path read from repeated-evaluation summary CSV
R021,random_b450,3,R021 random-budget repeated-evaluation source checkpoint,results/r021_random_budget450_costmatch/checkpoint_reeval_random_b450_seed3_5x20_summary.csv,True,results/r021_random_budget450_costmatch/checkpoints/best_Lift_random_b450_seed3_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear.zip,True,3736244,ee107b376089c44d92fbfbb0a2b9dec34188e6df856b03d437108325d9ae6383,results/r021_random_budget450_costmatch,checkpoint path read from repeated-evaluation summary CSV
R021,random_b450,4,R021 random-budget repeated-evaluation source checkpoint,results/r021_random_budget450_costmatch/checkpoint_reeval_random_b450_seed4_5x20_summary.csv,True,results/r021_random_budget450_costmatch/checkpoints/best_Lift_random_b450_seed4_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_vphasenone_idemomodeall_restorebest1_pacelinear.zip,True,3736240,c304bf5005f0a7a40e135f458b6d89428035714724e08ee704e4a1cd0aacb569,results/r021_random_budget450_costmatch,checkpoint path read from repeated-evaluation summary CSV
R021,none,0-4,R021 aggregate row inherited from R020 evidence,results/r020_lift_highn_reliability/r020_lift_highn_seed_table.csv,True,,,,,results/r020_lift_highn_reliability plus historical checkpoint dirs listed per seed above,R021 costmatch aggregate reuses R020 none/LV-VoI/random_b600 rows; see R020 per-seed rows in this inventory.
R021,lv_voi_scale3,0-4,R021 aggregate row inherited from R020 evidence,results/r020_lift_highn_reliability/r020_lift_highn_seed_table.csv,True,,,,,results/r020_lift_highn_reliability plus historical checkpoint dirs listed per seed above,R021 costmatch aggregate reuses R020 none/LV-VoI/random_b600 rows; see R020 per-seed rows in this inventory.
R021,random_b600,0-4,R021 aggregate row inherited from R020 evidence,results/r020_lift_highn_reliability/r020_lift_highn_seed_table.csv,True,,,,,results/r020_lift_highn_reliability plus historical checkpoint dirs listed per seed above,R021 costmatch aggregate reuses R020 none/LV-VoI/random_b600 rows; see R020 per-seed rows in this inventory.
